promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,Kane vs. Umaga,08/2006 , 11/2006,5.32,Kane,Umaga,Armando Alejandro Estrada,World Wrestling Entertainment
World Wrestling Entertainment,Die Emanzipation des Virgil,01/1991 , 12/1991,5.29,Virgil,Roddy Piper,El Matador,Ted DiBiase
World Wrestling Entertainment,Ein Großmaul kriegt großen Ärger: Khali vs. Ziggler,04/2009 , 06/2009,5.29,Ranjin Singh,Dolph Ziggler,World Wrestling Entertainment,Summary
Impact Wrestling,Eine Therapie mit Tücken: Abyss vs. Dr. Stevie,04/2009 , 12/2009,5.27,Abyss,Lauren Thompson,Taylor Wilde,Dr. Stevie
World Wrestling Entertainment,Keine Angst vor großen Tieren: Cena vs. Miz,04/2009 , 08/2009,5.26,John Cena,The Miz,World Wrestling Entertainment,Summary
Impact Wrestling,"Ohrfeigen, Pornos und Psychiater: Angle vs. Sting",09/2007 , 11/2007,5.25,Comments,Sting,Booker T,Kurt Angle
Impact Wrestling,He creamed him with a Fish! Curry Man & Shark Boy vs. Team 3D,02/2008 , 03/2008,5.25,Shark Boy,Brother Ray,Brother Devon,Johnny Devine
World Championship Wrestling,Tom Gerhardt und Berlyns Auspuff,09/1999 , 02/2000,5.23,Tom Gerhardt,World Championship Wrestling,Summary,(?)
World Wrestling Entertainment,Der Kampf der Milliardäre: Trump vs. McMahon,01/2007 , 04/2007,5.22,Bobby Lashley,Vince McMahon,Umaga,Armando Estrada
Ohio Valley Wrestling,Ein Troubleshooter wird zum Ärgernis,06/2007 , 08/2007,5.22,Michael W. Kruel,Roucka,Vladimir Kozlov,The Belgium Brawler
Impact Wrestling,Jeff Jarrett vs. Scott Hall,06/2002 , 07/2002,5.22,Jeff Jarrett,Brian Lawler,Brian Christopher,K-Krush
World Wrestling Entertainment,Cool erwischt: John Cena vs. Carlito,10/2004 , 12/2004,5.19,John Cena,Carlito Caribbean Cool,Jesus,World Wrestling Entertainment
